company,year,framing_ethical,framing_surveillance,framing_market,num_docs
2060.io,20.0,0.0,0.0,1.0,4
accurascan.com,20.0,0.0,0.16666666666666666,0.8333333333333334,9
aicure.com,20.0,0.7777777777777778,0.0,0.2222222222222222,6
ailabs.tw,20.0,1.0,0.0,0.0,5
aimbrain.com,20.0,0.5106382978723404,0.0,0.48936170212765956,1
aisles.app,20.0,0.5,0.0,0.5,3
allevate.com,20.0,0.0,0.0,0.0,1
alwaysai.co,20.0,0.0,0.4,0.6,36
ampletrails.com,20.0,0.0,0.0,0.0,13
ams-osram.com,20.0,0.0,0.0,0.0,1
androvideo.com,20.0,0.15789473684210525,0.5263157894736842,0.3157894736842105,12
apiarys.com,20.0,0.0,0.0,0.0,5
attaininsight.com,20.0,0.5333333333333333,0.06666666666666667,0.4,2
augentic.com,20.0,0.2,0.8,0.0,11
awiros.com,20.0,0.08,0.32,0.6,9
ayonix.com,20.0,0.0,0.0,0.0,1
barnksfortetech.com,20.0,0.0,0.0,1.0,4
bi.com,20.0,0.6619718309859155,0.22535211267605634,0.11267605633802817,10
bi2technologies.com,20.0,0.0,1.0,0.0,4
bigbear.ai,20.0,0.0,0.0,1.0,1
bio-metrica.com,20.0,0.17647058823529413,0.8235294117647058,0.0,5
biometrica.com,19.0,0.0,0.0,0.0,1
biometricvision.com,20.0,0.7213114754098361,0.09836065573770492,0.18032786885245902,12
bioqube.ai,20.0,0.10714285714285714,0.0,0.8928571428571429,1
birdee.solutions,20.0,0.2608695652173913,0.0,0.7391304347826086,9
churchix.com,20.0,0.0,1.0,0.0,24
corporate.glory-global.com,20.0,0.4406779661016949,0.05084745762711865,0.5084745762711864,42
cortica.com,20.0,0.25,0.75,0.0,18
creativetimesolutions.com,20.0,0.25,0.0,0.75,1
credas.com,20.0,0.4864864864864865,0.0,0.5135135135135135,1
cybercoretech.com,20.0,0.3333333333333333,0.0,0.6666666666666666,6
cyberextruder.com,20.0,0.0,0.8125,0.1875,3
daltrey.com,20.0,0.8666666666666667,0.0,0.13333333333333333,2
dataworksplus.com,20.0,0.07303370786516854,0.6235955056179775,0.30337078651685395,51
deepsense.ai,20.0,0.0,0.0,1.0,1
dpmsys.com,20.0,0.5609756097560976,0.21951219512195122,0.21951219512195122,30
e3iq.com,20.0,0.2112676056338028,0.0,0.7887323943661971,12
easyclocking.com,20.0,0.0,0.0,1.0,8
elementsolutions.io,20.0,0.25,0.0,0.75,6
en.cudo.co.kr,20.0,0.0,0.125,0.875,14
en.deepblueai.com,20.0,0.13333333333333333,0.4666666666666667,0.4,29
en.hisign.com.cn,20.0,0.0,1.0,0.0,13
en.horizon.ai,20.0,0.16483516483516483,0.0,0.8351648351648352,38
en.maxvision.com.cn,20.0,0.2727272727272727,0.18181818181818182,0.5454545454545454,11
en.minivision.cn,20.0,0.5887096774193549,0.27419354838709675,0.13709677419354838,56
en.pnpsecure.com,20.0,0.7888888888888889,0.12222222222222222,0.08888888888888889,13
en.sjtu.edu.cn,20.0,0.0,0.0,0.0,5
english.easen-electron.com,20.0,0.0,0.45454545454545453,0.5454545454545454,61
english.ict.cas.cn,20.0,0.0,0.0,0.0,1
english.siat.cas.cn,20.0,0.0,0.0,0.0,21
english.szpu.edu.cn,20.0,0.0,0.0,0.0,2
english.taiwanmobile.com,20.0,0.8888888888888888,0.0,0.1111111111111111,2
eocortex.com,20.0,0.75,0.0,0.25,76
estonetech.com,20.0,0.0,0.0,1.0,1
etunnel.net,20.0,0.0,0.0,0.0,1
examity.com,20.0,0.75,0.125,0.125,2
face.idrive.com,20.0,0.0,0.0,1.0,1
face4systems.com,20.0,0.0,0.0,1.0,3
faceguard.co.uk,20.0,0.0,0.0,0.0,1
facia.ai,20.0,0.52,0.0,0.48,1
faicetech.com,20.0,0.6448202959830867,0.27061310782241016,0.08456659619450317,17
farfaces.net,20.0,0.5538461538461539,0.09230769230769231,0.35384615384615387,20
fastverify.ai,20.0,0.5032851511169514,0.024967148488830485,0.47174770039421815,34
fidentity.com,20.0,0.6355140186915887,0.037383177570093455,0.32710280373831774,36
finbraine.com,20.0,0.014705882352941176,0.0,0.9852941176470589,1
fincore.com,20.0,0.5280898876404494,0.12359550561797752,0.34831460674157305,9
fingercheck.com,20.0,0.0,0.0,1.0,2
foo.mobi,20.0,0.0,0.0,1.0,1
fortress-identity.com,20.0,0.4215686274509804,0.0392156862745098,0.5392156862745098,11
frp.ai,20.0,0.4387755102040816,0.1836734693877551,0.37755102040816324,32
fully-verified.com,20.0,0.25,0.0,0.75,4
getgroup.com,20.0,0.1111111111111111,0.2222222222222222,0.6666666666666666,6
getgroupna.com,20.0,0.0,1.0,0.0,1
grabango.com,20.0,0.42857142857142855,0.0,0.5714285714285714,10
grandingworld.com,20.0,0.16666666666666666,0.3888888888888889,0.4444444444444444,122
homebase-solutions.com,20.0,0.8076923076923077,0.07692307692307693,0.11538461538461539,10
humaniq.com,20.0,0.0,0.0,0.0,3
hummingbirds.ai,20.0,0.0,0.0,1.0,2
hypernetworks.com,20.0,0.5328947368421053,0.0,0.46710526315789475,33
icomm.vn,20.0,0.21052631578947367,0.13157894736842105,0.6578947368421053,12
idency.com,20.0,1.0,0.0,0.0,5
identance.com,20.0,0.3754963131026659,0.014180374361883154,0.6103233125354509,23
identyum.com,20.0,0.5,0.0,0.5,1
incode.com,20.0,0.0,0.0,1.0,1
infocert.digital,20.0,0.40540540540540543,0.0,0.5945945945945946,2
innov8tif.com,20.0,0.0,0.0,1.0,3
intema.ai,20.0,0.0,0.0,1.0,1
interbio.id,20.0,0.4,0.2,0.4,4
interface.ai,20.0,0.35294117647058826,0.058823529411764705,0.5882352941176471,8
intozi.io,20.0,0.11688311688311688,0.07792207792207792,0.8051948051948052,2
iomni.ai,20.0,0.043478260869565216,0.5652173913043478,0.391304347826087,15
iveda.com,20.0,0.0,0.3333333333333333,0.6666666666666666,3
joyusing.com,20.0,0.23076923076923078,0.07692307692307693,0.6923076923076923,37
kby-ai.com,20.0,0.0,0.0,1.0,2
keyless.io,20.0,0.9067796610169492,0.005649717514124294,0.08757062146892655,55
kloudspot.ai,20.0,0.32936507936507936,0.376984126984127,0.29365079365079366,92
kltechno.com,20.0,0.3076923076923077,0.0,0.6923076923076923,20
kriosk.com,20.0,0.0,0.0,0.0,1
kycaid.com,20.0,0.430241233523999,0.015419049987565282,0.5543397164884357,83
langate.com,20.0,0.376,0.0,0.624,18
lightvision.ai,20.0,0.7058823529411765,0.0,0.29411764705882354,8
liopa.ai,20.0,0.0,0.0,1.0,1
loginid.io,20.0,0.631163708086785,0.015779092702169626,0.3530571992110454,71
logits.systems,20.0,0.8823529411764706,0.11764705882352941,0.0,5
madeye.ai,20.0,0.0,0.0,0.0,4
metsakuur.com,20.0,0.0,1.0,0.0,4
miniai.live,20.0,0.12605042016806722,0.05042016806722689,0.8235294117647058,2
minsecurity.com,20.0,0.7727272727272727,0.22727272727272727,0.0,3
mvision.ai,20.0,0.0,0.0,1.0,3
mxface.ai,20.0,0.18584070796460178,0.25,0.5641592920353983,75
myidentitypass.com,20.0,0.43478260869565216,0.0,0.5652173913043478,6
n-sense.us,20.0,0.0,0.0,0.0,1
nialabs.in,20.0,0.0,0.1935483870967742,0.8064516129032258,3
nirenbergneuroscience.com,20.0,0.0,0.0,0.0,1
nntc.digital,20.0,0.0,0.5,0.5,5
noblis.org,20.0,0.6918238993710691,0.23270440251572327,0.07547169811320754,5
nominder.com,20.0,0.0,0.0,0.0,1
ntechlab.com,20.0,0.3333333333333333,0.6666666666666666,0.0,1
omnigarde.com,20.0,0.6956521739130435,0.30434782608695654,0.0,11
ondato.com,20.0,0.33906947100063733,0.0,0.6609305289993627,2
openbiometrics.org,20.0,0.0,0.75,0.25,10
otilumionics.com,20.0,0.5714285714285714,0.0,0.42857142857142855,6
pangiam.com,20.0,0.16666666666666666,0.3333333333333333,0.5,1
papillonsystems.com,20.0,0.0,1.0,0.0,2
papilon.com.tr,20.0,0.125,0.875,0.0,2
passphere.com,20.0,0.0,0.0,1.0,2
paybyface.io,20.0,0.0,0.0,1.0,2
pdactive.com,20.0,0.0,1.0,0.0,1
pharmacyid.com.au,20.0,0.4152542372881356,0.3050847457627119,0.2796610169491525,31
pillohealth.com,20.0,0.6237623762376238,0.0594059405940594,0.31683168316831684,9
pixlab.io,20.0,0.3533697632058288,0.007285974499089253,0.639344262295082,40
preciate.me,20.0,0.0,0.0,1.0,3
predictmedix.com,20.0,0.8426966292134831,0.15730337078651685,0.0,5
prilyx.com,20.0,0.0,0.7241379310344828,0.27586206896551724,9
privateid.com,20.0,0.3114754098360656,0.09836065573770492,0.5901639344262295,2
purviewservices.com,20.0,0.3870967741935484,0.0,0.6129032258064516,30
recfaces.com,20.0,0.3333333333333333,0.0,0.6666666666666666,1
regulaforensics.com,20.0,0.2727272727272727,0.48484848484848486,0.24242424242424243,10
research.sg.panasonic.com,20.0,0.30612244897959184,0.46938775510204084,0.22448979591836735,70
saltosystems.com,20.0,0.07272727272727272,0.0,0.9272727272727272,42
samtechinfonet.com,20.0,0.0,0.0,1.0,12
screenchecksaudi.com,20.0,0.0,0.0,1.0,2
seamfix.com,20.0,0.21621621621621623,0.0,0.7837837837837838,2
secure.prm.net.au,20.0,0.6551724137931034,0.08620689655172414,0.25862068965517243,21
securiport.com,20.0,0.0,0.0,0.0,1
sensity.ai,20.0,0.0,0.7391304347826086,0.2608695652173913,1
seventhsense.ai,20.0,0.5636363636363636,0.08181818181818182,0.35454545454545455,17
sightcorp.com,20.0,0.28187919463087246,0.09332054969638862,0.6248002556727389,1
signdesk.com,20.0,0.3547619047619048,0.016666666666666666,0.6285714285714286,13
smarteyetechnology.com,20.0,0.0,0.0,0.0,2
smilepay.az,20.0,0.0,0.0,0.0,1
sqr.id,20.0,0.4659533073929961,0.0019455252918287938,0.5321011673151751,25
stcon.sa,20.0,1.0,0.0,0.0,1
stereovisioninc.com,20.0,0.0,1.0,0.0,2
stonelock.com,20.0,0.23529411764705882,0.0,0.7647058823529411,8
stripe.com,20.0,0.5453438831405965,0.009129640900791236,0.4455264759586123,62
stytch.com,20.0,0.0,0.0,1.0,15
sumsub.com,20.0,0.47950819672131145,0.028688524590163935,0.4918032786885246,8
sunartek.com,20.0,0.0,0.0,1.0,1
suspecttech.com,20.0,0.0,1.0,0.0,4
svort.io,20.0,0.5806451612903226,0.0,0.41935483870967744,28
swsam.co.uk,20.0,0.208955223880597,0.11940298507462686,0.6716417910447762,17
sz1.com,20.0,0.06976744186046512,0.0,0.9302325581395349,22
tascent.com,20.0,0.0,0.25882352941176473,0.7411764705882353,18
tech5.ai,20.0,0.1111111111111111,0.4444444444444444,0.4444444444444444,5
temperaturecheck.com,20.0,0.7352941176470589,0.17647058823529413,0.08823529411764706,5
tevian.ai,20.0,0.5,0.0,0.5,16
thumbsignin.com,20.0,0.6129032258064516,0.008064516129032258,0.3790322580645161,28
timewatchindia.com,20.0,0.0,0.0,0.0,9
tinkoff-group.com,20.0,0.3333333333333333,0.0,0.6666666666666666,4
trinamixsensing.com,20.0,0.0,0.0,1.0,6
trucrowd.tech,20.0,0.6525612472160356,0.0334075723830735,0.31403118040089084,26
truststamp.ai,20.0,0.8046511627906977,0.018604651162790697,0.17674418604651163,20
ulsee.com,20.0,0.7272727272727273,0.0,0.2727272727272727,6
uniqul.com,20.0,0.5714285714285714,0.42857142857142855,0.0,16
uqudo.com,20.0,0.032520325203252036,0.0,0.967479674796748,5
us.getcubo.com,20.0,0.9770642201834863,0.0,0.022935779816513763,14
us.papagoinc.com,20.0,0.0,0.0,1.0,4
ux-labs.com,20.0,0.35714285714285715,0.0,0.6428571428571429,3
vaultvision.com,20.0,0.0,0.0,0.0,2
vbrick.com,20.0,0.0,0.625,0.375,3
veratad.com,20.0,0.6666666666666666,0.0,0.3333333333333333,2
veriface.eu,20.0,0.431740614334471,0.0017064846416382253,0.5665529010238908,21
verify365.app,20.0,0.5517241379310345,0.04597701149425287,0.40229885057471265,3
verigram.ai,20.0,0.09090909090909091,0.0,0.9090909090909091,1
veriklick.com,20.0,0.4117647058823529,0.0,0.5882352941176471,15
viante.ai,20.0,0.6,0.4,0.0,2
videmo.de,20.0,0.17777777777777778,0.5555555555555556,0.26666666666666666,14
visagetechnologies.com,20.0,0.08333333333333333,0.4166666666666667,0.5,3
visiomatch.com,20.0,0.21839799749687108,0.0037546933667083854,0.7778473091364205,28
vsblty.net,20.0,0.0,0.0,1.0,2
waldophotos.com,20.0,0.6153846153846154,0.23076923076923078,0.15384615384615385,7
wct-inc.com,20.0,0.775,0.075,0.15,8
wildfaces.ai,20.0,0.0,0.0,1.0,3
withpersona.com,20.0,0.413477537437604,0.04409317803660566,0.5424292845257903,84
www.1kosmos.com,20.0,0.2692307692307692,0.0,0.7307692307692307,4
www.20face.com,20.0,0.0,0.0,1.0,2
www.3m.com,19.0,1.0,0.0,0.0,1
www.a3bc.io,20.0,0.7816091954022989,0.022988505747126436,0.19540229885057472,19
www.abbyy.com,20.0,0.2095890410958904,0.0,0.7904109589041096,56
www.abouttimetech.com,20.0,0.06862745098039216,0.0,0.9313725490196079,30
www.accelrobotics.com,20.0,0.0,0.0,1.0,11
www.accu-time.com,20.0,0.0,0.0,1.0,2
www.achievers.com,20.0,0.0,0.0,1.0,1
www.activewitness.com,20.0,0.7083333333333334,0.16666666666666666,0.125,10
www.addistechsolution.com,20.0,0.014492753623188406,0.9565217391304348,0.028985507246376812,22
www.adityagroup.com,20.0,0.25,0.0,0.75,5
www.affectiva.com,20.0,0.0,0.0,0.0,1
www.ai-first.ch,20.0,0.0,0.25,0.75,7
www.aidentity.org,20.0,0.35526315789473684,0.3815789473684211,0.2631578947368421,20
www.airopie.com,20.0,0.0,0.0,1.0,26
www.alluvial.net.au,20.0,0.0,0.0,0.0,1
www.ambarella.com,20.0,0.0,0.0,0.0,2
www.anduril.com,20.0,0.3,0.4,0.3,4
www.anolytics.ai,20.0,0.0,0.1875,0.8125,2
www.ariadnext.com,20.0,1.0,0.0,0.0,2
www.assertai.com,20.0,0.8,0.2,0.0,1
www.asuresoftware.com,20.0,0.0,0.0,0.0,1
www.au10tix.com,20.0,0.4235294117647059,0.08823529411764706,0.48823529411764705,14
www.axxonsoft.com,20.0,0.06896551724137931,0.20689655172413793,0.7241379310344828,18
www.biocatch.com,20.0,0.24793388429752067,0.030303030303030304,0.721763085399449,109
www.bioid.com,20.0,0.40425531914893614,0.02127659574468085,0.574468085106383,21
www.biometricsolution.com,20.0,0.26666666666666666,0.08888888888888889,0.6444444444444445,41
www.biometricstech.com,20.0,0.0,0.0,1.0,19
www.biometricupdate.com,20.0,0.42857142857142855,0.2857142857142857,0.2857142857142857,8
www.bitmain.com,20.0,1.0,0.0,0.0,1
www.bitventure.co.za,20.0,0.5,0.0,0.5,2
www.blackbook.ai,20.0,0.0,0.0,0.0,1
www.blaize.com,20.0,0.0,0.0,0.0,1
www.cccme.cn,20.0,0.0,0.0,0.0,1
www.certifyglobal.com,20.0,0.9635416666666666,0.0,0.036458333333333336,20
www.certifyhealth.com,20.0,0.5769230769230769,0.0,0.4230769230769231,4
www.chainway.net,20.0,1.0,0.0,0.0,3
www.chetu.com,20.0,0.432258064516129,0.04946236559139785,0.5182795698924731,65
www.cisco.com,20.0,0.5056179775280899,0.2247191011235955,0.2696629213483146,70
www.civic.com,19.0,0.0,0.0,1.0,1
www.civic.com,20.0,0.0,0.0,1.0,2
www.clarifai.com,20.0,0.3333333333333333,0.06060606060606061,0.6060606060606061,7
www.clearme.com,20.0,0.3125,0.125,0.5625,15
www.cloudsmart.co.uk,20.0,0.09090909090909091,0.0,0.9090909090909091,7
www.collinsaerospace.com,20.0,0.0,0.5,0.5,1
www.comcorp.co.za,20.0,1.0,0.0,0.0,1
www.corsight.ai,20.0,0.3333333333333333,0.4666666666666667,0.2,1
www.creative-sols.com,20.0,0.0,0.0,1.0,10
www.crucialtrak.com,20.0,0.5339805825242718,0.038834951456310676,0.42718446601941745,62
www.cyberlink.com,20.0,0.0,0.0,0.0,1
www.daon.com,20.0,0.2682926829268293,0.12195121951219512,0.6097560975609756,54
www.datasetshop.com,20.0,0.9072164948453608,0.0,0.09278350515463918,13
www.datatang.ai,20.0,0.972972972972973,0.02702702702702703,0.0,12
www.datavisor.com,20.0,0.18518518518518517,0.0,0.8148148148148148,2
www.deputy.com,20.0,0.46221248630887185,0.013143483023001095,0.524644030668127,114
www.dermalog.com,20.0,0.08823529411764706,0.7352941176470589,0.17647058823529413,15
www.dfsme.ae,20.0,0.0,0.0,0.0,1
