topic_id,top_words,top_companies,framing_ethical,framing_surveillance,framing_market
0,"access, information, security, data, piam, use, personal, identity, cloudgate, compliance",www.soloinsight.com (218); www.gbgplc.com (146); www.transunion.com (109); www.omnigo.com (95); www.pingidentity.com (93); www.biocatch.com (85); www.signicat.com (59); withpersona.com (56); www.onelogin.com (56); www.fourthline.com (52),0.5536945812807882,0.08669950738916256,0.35960591133004927
1,"face, recognition, biometric, attendance, fingerprint, facial, face recognition, biometrics, control, time",www.ideco.co.za (111); english.easen-electron.com (61); www.miaxis.net (55); www.matrixaccesscontrol.com (53); mxface.ai (52); www.daon.com (48); www.mantratec.com (46); dataworksplus.com (45); www.injes.com (35); www.crucialtrak.com (35),0.30271747381205405,0.14528616972825262,0.5519963564596934
2,"demand, cctv, camera, ca, verkada, 00, video, cctv camera, skn, security",www.skntechnology.in (148); www.scylla.ai (100); kloudspot.ai (91); www.verkada.com (82); eocortex.com (67); www.i2vsys.com (49); www.revealmedia.com (34); en.horizon.ai (33); zeroeyes.com (26); www.addistechsolution.com (21),0.1644174111385668,0.17164037255274664,0.6639422163086866
3,"vantage, development, document, ai, prioxis, skills, cloud, abbyy, data, processing",www.prioxis.com (197); www.innominds.com (59); www.elementai.com (38); www.abbyy.com (32); en.deepblueai.com (28); www.infrrd.ai (26); www.chetu.com (18); www.zerone-consulting.com (17); www.ramco.com (14); www.datatang.ai (12),0.26610806125397285,0.026581912741982086,0.707310026004045
4,"fingerprint, android, bluetooth, biometric fingerprint, reader, handheld, barcode, biometric, portable, printer",www.smartfeigete.com (207); grandingworld.com (83); www.hidglobal.com (51); saltosystems.com (35); www.sekureid.com (20); www.ravirajtech.com (14); www.ideco.co.za (6); www.jiminate.com.cn (4); www.eyenetwatch.com (4); www.tacsllc.com (3),0.16666666666666666,0.05555555555555555,0.7777777777777778
5,"aml, smartsearch, money, laundering, money laundering, checks, financial, http, firms, org",www.smartsearch.com (162); www.thirdfort.com (28); secure.prm.net.au (10); www.fourthline.com (4); identance.com (3); www.gbgplc.com (3); www.signicat.com (2); www.supercom.com (2); veriface.eu (2); www.enqura.com (1),0.31372816593886466,0.028793668122270744,0.6574781659388647
6,"stripe, payments, think, really, payment, like, just, ve, going, yeah",www.everyware.com (59); stripe.com (42); www.transunion.com (12); www.accelrobotics.com (11); www.hubino.com (10); www.getzippin.com (9); grabango.com (8); pillohealth.com (5); langate.com (4); www.mantratec.com (4),0.3322818086225026,0.005257623554153523,0.6624605678233438
7,"ramco, payroll, aviation, en, ramco systems, erp, management, systems, sita, global",www.ramco.com (81); www.sita.aero (31); www.stengg.com (13); www.dgworld.com (11); www.guardforce.com.hk (5); www.nuance.com (5); www.chetu.com (3); www.verint.com (3); en.sjtu.edu.cn (3); langate.com (3),0.5624133148404993,0.05339805825242718,0.3841886269070735
8,"mitek, miteksystems, gaap, mobile, company, www, financial, miteksystems com, mitk, com",www.miteksystems.com (146); examity.com (1); www.signicat.com (1),0.35185185185185186,0.006172839506172839,0.6419753086419753
9,"gsm, gprs, wireless, cdma, rf, radio, frequency, rfid, remote, radio frequency",www.utstar.com (45); www.whoo.ai (23); www.cisco.com (20); www.ravirajtech.com (15); www.singlewire.com (11); hypernetworks.com (7); www.supercom.com (4); www.necam.com (3); www.transunion.com (1); www.thalesgroup.com (1),0.0898876404494382,0.1348314606741573,0.7752808988764045
10,"deputy, workforce, payroll, scheduling, employees, employee, workforce management, staff, read, time",www.deputy.com (94); www.abouttimetech.com (13); www.tankhapay.com (12); www.filmetrics.com.ph (3); loginid.io (2); kltechno.com (1); stripe.com (1); www.trac-tech.co.za (1); www.soloinsight.com (1); www.salarium.com (1),0.40654205607476634,0.002336448598130841,0.5911214953271028
11,"authentication, password, lastpass, factor, hanko, mfa, passwords, factor authentication, user, login",www.hanko.io (65); www.lastpass.com (25); www.onespan.com (23); stytch.com (12); svort.io (2); www.bioid.com (1); www.civic.com (1); www.everyware.com (1); fincore.com (1); www.enqura.com (1),0.30390492359932086,0.006791171477079796,0.6893039049235993
12,"camera, lens, usb, video, 4k, fps, linux, nextiva, windows, sensor",www.e-consystems.com (45); www.airopie.com (25); www.verint.com (25); www.veowork.com (14); www.yuan.com.tw (11); joyusing.com (4); androvideo.com (3); sz1.com (2); www.ravirajtech.com (2); www.3m.com (1),0.27918781725888325,0.23857868020304568,0.48223350253807107
13,"loop, statements, forward looking, forward, looking statements, looking, fobi, loop insights, insights, release",www.fobi.ai (128); www.certifyglobal.com (1); www.telesign.com (1),0.2877005347593583,0.013903743315508022,0.6983957219251337
14,"authored, minivision, minivision technology, panasonic, singapore, omar, technology, panasonic center, center singapore, center",research.sg.panasonic.com (30); en.minivision.cn (24); english.siat.cas.cn (16); en.cudo.co.kr (12); mvision.ai (3); ulsee.com (2); www.imperial.ac.uk (1); corporate.glory-global.com (1); en.maxvision.com.cn (1); visagetechnologies.com (1),0.15384615384615385,0.3333333333333333,0.5128205128205128
15,"melissa, data, data quality, address, zip, addresses, append, quality, cleansing, melissa data",www.melissa.com (57); www.gbgplc.com (3); www.jiminate.com.cn (1),0.44694533762057875,0.05144694533762058,0.5016077170418006
16,"university, surrey, data, personal data, prize, university surrey, personal, women, information, draw",www.surrey.ac.uk (44); www.stengg.com (1); www.transunion.com (1),0.9943820224719101,0.0,0.0056179775280898875
17,"hid, think, like, know, really, 2024, just, yeah, sam, lot",www.hidglobal.com (32); stripe.com (7); www.guardforce.com.hk (3); www.iq.com (1); www.tuya.com (1),0.25667351129363447,0.0,0.7433264887063655
18,"evidence, digital evidence, data, case, attorneys, data room, files, investigation, digital, trialkit",www.omnigo.com (15); www.trialkit.ai (13); thumbsignin.com (9); dataworksplus.com (1); www.eyenetwatch.com (1); www.chetu.com (1); vbrick.com (1); www.sighthound.com (1); zorroa.com (1),0.20967741935483872,0.489247311827957,0.3010752688172043
19,"energy, software, water, management, grid, energy management, developers, chetu, utility, smart grid",www.chetu.com (26); www.tuya.com (12); www.johnsoncontrols.com (1); www.cisco.com (1); www.prioxis.com (1),0.6293103448275862,0.09770114942528736,0.27298850574712646
20,"deck, attacked, zombie, turn, trap, activated, nhl, drew, set, dragon",www.konami.com (31); www.photko.com (5); cortica.com (1); www.facewaretech.com (1),0.0,0.02857142857142857,0.9714285714285714
21,"camera, camera module, joy, module, document camera, scanner, book scanner, 4k, book, document",joyusing.com (30); www.supercom.com (4); www.veowork.com (1),0.10714285714285714,0.5714285714285714,0.32142857142857145
22,"cisco, linksys, appliance, wireless, manager, family, series, module, unified, server",www.cisco.com (34); www.vuzix.com (1),0.6617647058823529,0.27941176470588236,0.058823529411764705
23,"gentex, glass, dimmable, dimmable glass, mirror, digital vision, sensing, vision, vision connectivity, connectivity sensing",www.gentex.com (31); www.genvis.co (1); www.fastenterprises.com (1),0.5641025641025641,0.15384615384615385,0.28205128205128205
24,"signature, electronic, sign, signatures, contract, onespan, onespan sign, electronic signature, contract management, signing",www.onespan.com (27); www.kobil.com (2); www.civic.com (1); www.daon.com (1); signdesk.com (1),0.5695538057742782,0.015748031496062992,0.4146981627296588
25,"identity card, pixlab, driver license, card, api, driver, license, identity, image, endpoint",pixlab.io (31),0.2121951219512195,0.0,0.7878048780487805
26,"reference, accounting, http, org, xbrl, publisher, 2003, paragraph, http www, accounting standards",kycaid.com (26); www.deputy.com (1); www.supercom.com (1),0.7165775401069518,0.0106951871657754,0.2727272727272727
27,"item, fobi, child, menu item, menu, statements, looking statements, forward looking, forward, looking",www.fobi.ai (28),0.4121212121212121,0.00909090909090909,0.5787878787878787
28,"dgworld, autonomous, engineer, senior, robot, drone, director, palletizing, robots, driving",www.dgworld.com (15); alwaysai.co (9); www.fastenterprises.com (1),0.0,0.0,1.0
29,"door, temperature, lock, thermometer, inch, electric, wrist, temperature measurement, measurement, locks",www.ravirajtech.com (10); www.jiminate.com.cn (9),0.0,0.2,0.8
30,"xydus, create identity, today tomorrow, needs today, evolves, continuity, tomorrow, identity management, uk businesses, right work",xydus.com (17),1.0,0.0,0.0
31,"bacs, modes, bacs readers, readers, enrollment, duo, solution bacs, light, crucialtrak, iris",www.crucialtrak.com (17),1.0,0.0,0.0
32,"glory, 2015, 2017, kb, release, tinkoff, rub, bn, notice, financial",corporate.glory-global.com (15); tinkoff-group.com (2),0.3076923076923077,0.0,0.6923076923076923
33,"hero, school, students, student, principal, teachers, middle school, positive, behavior, santiago",www.herok12.com (15),0.40816326530612246,0.12244897959183673,0.46938775510204084
34,"dragon, nuance, pdf, english, contact center, solutions, customer care, productivity suite, document scanning, speech",www.nuance.com (7); www.necam.com (5); www.johnsoncontrols.com (2); www.cisco.com (1),0.3137254901960784,0.0784313725490196,0.6078431372549019
35,"training, utstarcom, hotel, careers investors, solutions professional, training company, company support, document library, services training, news careers",www.utstar.com (14),0.0,0.0,0.0
36,"gbg, personal, information, personal information, data, personal data, collect, organisation, address, marketing",www.gbgplc.com (11),0.9310344827586207,0.05747126436781609,0.011494252873563218
37,"client, client client, windows, embedded, boot, intel, nec, clients, pc, xp",www.e-consystems.com (4); www.ravirajtech.com (4); www.mantratec.com (1); www.necam.com (1),0.0,0.0,1.0
38,"uv, printer, printing, roll, print, biometrics, ink, pradesh, printers, fingerprints",www.ravirajtech.com (5); www.hzailysm.com (4); www.salarium.com (1),0.25,0.0,0.75
